episode,total_reward
1,-35.8147843967876
2,-37.02807073547883
3,-70.64524523003453
4,-152.76322707271876
5,-205.36613023296377
6,-9.009113082477013
7,292.49782625785167
8,-392.3230571794381
9,-137.78079682922666
10,-23.320726321712257
11,-226.68126470301985
12,-571.0396541738843
13,-484.4196251394551
14,325.01094003481074
15,266.13978893033527
16,233.11471314374754
17,240.97792642557667
18,232.85964163324323
19,230.88390107847215
20,223.006036307336
21,232.89321392531645
22,222.69800038379142
23,230.78660457044256
24,228.17806577924094
25,255.76324327243293
26,232.17517648022732
27,225.530826192725
28,230.24869384635934
29,209.59571216145875
30,216.9350479489652
31,237.4172698342749
32,221.9382229267997
33,218.26848205967426
34,207.3233043312759
35,238.6288426217023
36,230.58414463250156
37,208.3549571300606
38,218.54308635863893
39,220.90047615199714
40,203.86903144083078
41,216.50534111341423
42,226.25773915387103
43,207.60856654986708
44,223.04443820118053
45,232.2625871448126
46,242.03999152888258
47,236.6339733749758
48,228.8137651448699
49,240.10153204239816
50,228.0674392199046
51,215.9519376616062
52,231.4310940046643
53,239.11506789021777
54,223.28438132603884
55,243.72264718970249
56,232.91395316671787
57,215.1458841676097
58,223.5835358139093
59,223.2424966729202
60,227.24698698980768
61,221.48078456379406
62,211.924797704759
63,218.00243833798837
64,217.2051255721714
65,222.3969752339693
66,239.27726872854984
67,224.6616532021389
68,213.5085624588478
69,217.35425251269209
70,245.72086494557666
71,243.58261339542267
72,231.69359410409345
73,236.4276122902741
74,214.17421254502207
75,235.4588972496698
76,219.45408415718927
77,224.88372557254655
78,202.92068132350204
79,215.41633657322865
80,214.58996719873207
81,217.36615636400046
82,224.9160054836678
83,220.91951822121533
84,227.21995186026575
85,247.4019739414801
86,226.18663196214007
87,247.97057273868734
88,211.85133839014082
89,228.94311009919485
90,216.4948108934136
91,243.3892032680675
92,201.03659550882935
93,237.47615778684263
94,229.51579731133634
95,237.13106154726572
96,211.23029255630982
97,225.02048484426982
98,208.86425717528354
99,213.04543753857007
100,218.02411868753313
101,208.38591422563337
102,215.4655298021293
103,228.2878555650704
104,219.09365574300134
105,240.6621505437035
106,226.32744331299574
107,224.91120177480616
108,242.04249644556307
109,223.1458627735792
110,244.51778788988943
111,227.16447842911134
112,213.43903092986918
113,216.96517114076602
114,215.61634361987507
115,219.26895932443261
116,207.52125960485384
117,232.8859740950621
118,228.11692629735552
119,227.63998396019593
120,228.66838026735746
121,229.87886852114738
122,241.32793519896205
123,239.17027563872628
124,217.1427686380913
125,234.3570799411925
126,236.7421857870713
127,234.96766316389838
128,246.16387899109648
129,227.71099111913765
130,229.19221832310177
131,219.2839034928766
132,228.52122088729828
133,222.08039612575382
134,221.93821592444706
135,224.41557483931166
136,227.52450617129628
137,229.72002604361194
138,233.82336984544693
139,224.42064285277627
140,223.38400363512548
141,219.93549512379957
142,216.62691612195064
143,231.4623581297418
144,221.1444151205955
145,227.95562622684986
146,220.87036741028166
147,234.21097787368953
148,213.12849919472006
149,223.47126560192177
150,206.28223499167174
151,216.35124539063582
152,214.03082283384177
153,216.59109600647133
154,230.10238303651764
155,222.8584370651006
156,203.70531802172968
157,225.29877673437966
158,223.42198136905714
159,222.13176300938702
160,230.9417187841044
161,209.3605892714328
162,211.4306443104665
163,223.7945786527287
164,221.88952308463553
165,230.87360466136596
166,220.66508690715983
167,231.3575712015494
168,224.20800741828685
169,232.55293150237546
170,236.0532675774566
171,210.93092195933076
172,214.80510203223668
173,216.06245991170644
174,243.20089784533457
175,232.58446903072164
176,219.26377558883954
177,227.57676362135362
178,213.13104865105313
179,212.4315990843537
180,233.0595592614279
181,219.59169811168533
182,234.90460097474343
183,230.6608888155845
184,234.96987654108952
185,243.52602060809068
186,217.3963642529336
187,210.84763012466817
188,210.94929416418256
189,219.91817969127754
190,232.2352876396943
191,230.06363087127818
192,215.03599993971582
193,221.5998714641055
194,221.89639768823926
195,227.57866625498548
196,230.3046400053102
197,209.5228448606161
198,215.16222348492238
199,230.22623084672088
200,227.98104104401108
201,214.97176793365526
202,211.05933994611243
203,237.015018609204
204,200.7690537470728
205,248.3868706837158
206,227.11654399295892
207,223.811021706477
208,207.1984689729878
